age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
TOTAL,NAT,NR,F,ES	15930 	15401 	17625 	15087 	13662 	15846 b	18989 	19045 	18313 	19118 	37170 b	19115 	9681 	15183 	13658 	11734 
TOTAL,NAT,NR,F,FI	4130 	4076 	4674 	3812 	4323 	4505 	4298 	4341 	4400 	4574 	4271 	34 	54 	54 	3404 	2987 
TOTAL,NAT,NR,F,FR	58056 	58067 	60561 	57324 	63249 	63244 	63177 	66556 b	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,HR	2369 	1989 	2319 	: 	: 	5684 	6149 	6216 	: 	: 	7809 	8940 	11144 	: 	: 	: 
TOTAL,NAT,NR,F,HU	7848 	6282 	2676 	791 b	1162 	1063 b	854 	1019 	1053 	1038 	915 	904 	786 	760 	603 	567 
TOTAL,NAT,NR,F,IE	6269 p	6834 	8710 	9736 	8663 	10081 	12370 	14719 b	7050 	8875 	8125 	9575 	14225 	13075 	13000 	12750 
TOTAL,NAT,NR,F,IS	1365 	1152 	913 	800 	702 b	1398 	1577 	: 	: 	: 	: 	1148 	: 	1326 	: 	1354 
TOTAL,NAT,NR,F,IT	12722 	13392 	14524 	15487 	16250 p	17533 p	19945 	19412 	18915 	22308 	21110 	31409 	15405 	14977 	13747 	12928 
TOTAL,NAT,NR,F,KG	: 	: 	: 	: 	: 	: 	1782 	1583 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,LI	86 	71 	93 	72 	94 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,LT	8957 	8133 	6583 	1967 	2494 	3112 	3025 	2596 	2207 	1711 	660 	403 	346 	419 	476 	609 
TOTAL,NAT,NR,F,LU	607 	442 	507 	499 	476 	416 	387 	268 	240 	271 	258 	463 	461 	374 	425 	428 
TOTAL,NAT,NR,F,LV	1987 	4117 	3010 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	193 	278 
TOTAL,NAT,NR,F,ME	: 	289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,MK	: 	196 	170 	: 	: 	94 	164 	215 	194 	219 	: 	320 	189 	: 	: 	: 
TOTAL,NAT,NR,F,MT	886 	853 	813 	466 	653 	715 b	534 	534 	: 	: 	: 	: 	0 	: 	: 	: 
TOTAL,NAT,NR,F,NL	16945 	16914 	17724 	17731 	17307 b	18834 	16759 	15424 	13064 	13210 	14150 	16163 	18277 	19581 	19280 	18829 
TOTAL,NAT,NR,F,NO	3564 	3429 	3734 	4806 	3526 	3315 b	4121 	4247 	4514 	: 	: 	4690 	4398 	4370 	: 	4902 
TOTAL,NAT,NR,F,PL	56866 	55789 	37315 	32692 	37380 b	10116 b	5575 	3915 	3876 	3993 	3111 	2941 	2970 	3260 	3449 	3299 
TOTAL,NAT,NR,F,PT	4957 	3731 	4547 	11791 	11358 	3469 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,RO	62895 	68682 	59905 	59254 	51870 	48476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,NAT,NR,F,RU	: 	: 	: 	: 	: 	: 	108755 	90536 	89390 	: 	: 	: 	: 	: 	: 	: 
